ligand_number,vinardo_score
1,-4.934
2,-5.263
3,-4.882
4,-4.875
5,-5.645
6,-4.461
7,-4.864
8,-5.252
9,-4.533
10,-5.349
11,-4.619
12,-5.515
13,-3.301
14,-5.652
15,-6.223
16,-5.265
17,-4.878
18,-4.596
19,-4.872
20,-5.121
21,-4.587
22,-5.623
23,-4.872
24,-5.007
25,-5.058
26,-5.276
27,-4.536
28,-5.786
29,-4.208
30,-4.547
31,-4.610
32,-4.487
33,-4.514
34,-5.622
35,-4.604
36,-5.289
37,-4.767
38,-5.027
39,-4.976
40,-6.128
41,-5.376
42,-4.868
43,-6.189
44,-4.533
45,-4.609
46,-5.641
47,-4.582
48,-5.512
49,-4.845
50,-4.489
51,-5.338
52,-5.599
53,-4.365
54,-4.536
55,-4.867
56,-4.577
57,-5.318
58,-5.261
59,-5.336
60,-2.559
61,-5.278
62,-5.643
63,-5.013
64,-3.868
65,-5.530
66,-4.494
67,-5.493
68,-6.202
69,-3.473
70,-5.653
71,-5.647
72,-4.676
73,-5.630
74,-2.649
75,-5.343
76,-4.541
77,-5.640
78,-5.271
79,-4.879
80,-5.390
81,-5.122
82,-4.870
83,-5.227
84,-4.492
85,-5.262
86,-4.878
87,-4.974
88,-4.849
89,-5.338
90,-6.136
91,-4.228
92,-5.359
93,-4.873
94,-5.641
95,-5.642
96,-4.510
97,-4.875
98,-5.648
99,-5.265
100,-5.519
101,-4.776
102,-4.856
103,-6.221
104,705541.024
105,-4.873
106,-4.936
108,-4.750
109,-4.941
110,-4.789
111,-4.869
112,-4.317
113,-3.990
114,-4.006
115,-4.409
116,-4.441
117,-4.708
118,-4.659
119,-5.168
120,-4.808
121,-5.050
122,-4.198
123,-4.359
124,-6.224
125,-4.805
126,-4.590
127,-1.038
128,-3.938
129,-5.193
130,-4.162
131,-5.787
132,-5.916
133,-5.270
134,-5.185
135,-3.506
136,-5.660
137,-5.313
138,-4.858
139,-5.289
140,-4.614
141,-4.348
142,-4.682
143,-3.945
144,-5.329
145,-3.858
146,-5.507
147,-5.314
148,-4.718
149,-5.537
150,-4.513
151,-4.494
152,-5.917
153,-5.010
154,-3.860
155,-5.494
156,-2.442
157,-4.914
158,-4.589
159,-4.421
160,-4.537
161,-1.136
162,-5.611
163,-4.951
164,-4.264
165,-4.725
166,674336.164
167,-5.910
168,-5.342
169,29027.454
170,-5.312
171,-4.652
172,-4.964
173,-5.690
174,-5.731
175,-4.596
176,-4.611
177,-4.994
178,-4.875
179,-4.160
180,-4.329
181,-4.551
182,-5.846
183,-4.786
184,-4.724
185,632630.150
186,-5.542
187,-5.883
188,-4.615
189,-4.609
190,-5.542
191,-5.188
192,-5.280
193,-4.629
194,-4.542
195,-5.513
196,-4.533
197,-1.772
198,-5.663
199,-1.866
200,-4.927
201,-4.578
202,-5.799
203,-4.796
204,-4.594
205,-4.577
206,-4.607
207,-4.817
208,-5.074
209,-4.114
210,-4.474
211,-5.086
212,-5.158
213,-5.044
214,-5.586
215,-4.447
216,-3.311
217,-5.215
218,-4.557
219,-5.392
220,-3.950
221,-5.033
222,-5.562
223,-4.556
224,-3.908
225,-4.931
226,-5.230
227,-5.362
228,-4.219
229,-4.489
230,-4.503
231,-4.839
232,-4.611
233,-4.307
234,-4.099
235,-0.717
236,-4.346
237,-5.378
238,-4.866
239,-4.083
240,-4.461
241,-5.176
242,-5.184
243,-4.318
244,-5.219
245,-5.496
246,5.070
247,-4.619
248,-4.893
249,-4.720
250,-2.858
251,-3.337
252,-5.003
253,-5.731
254,-5.100
255,-4.709
256,-4.752
257,-3.435
258,-4.677
259,-4.720
260,-6.051
261,-3.025
262,2929700.618
263,-5.292
264,-4.689
265,-4.554
266,-5.272
267,-0.117
268,-5.080
269,-5.272
270,-4.299
271,-5.771
272,-4.336
273,-5.238
274,-4.341
275,-5.502
276,-3.865
277,-4.568
278,-5.366
279,-4.118
280,-5.044
281,-6.037
282,-4.049
283,-3.369
284,-5.271
285,-5.158
286,-5.321
287,-4.830
288,0.630
289,-5.160
290,-4.762
291,-5.401
292,-5.249
293,-5.046
294,-4.078
295,-4.859
296,-4.367
297,-5.357
298,-4.958
299,-5.211
300,-4.848
301,-5.893
302,-4.782
303,-5.898
305,-5.306
306,-4.514
307,-4.941
308,4.384
309,-5.867
310,-4.970
311,-5.411
313,-6.563
314,-5.414
315,-5.331
316,10.158
317,-5.339
320,-5.393
321,-5.535
322,-4.917
323,-5.038
324,-5.056
326,-5.416
327,-5.328
329,-5.323
330,-5.532
331,-4.837
333,-5.303
334,-4.832
335,-5.485
336,-5.821
337,-4.649
338,-4.797
340,-5.885
341,-5.051
342,-4.376
343,-5.040
344,-5.413
345,-4.906
346,-5.138
348,-4.338
349,-4.869
350,-5.898
351,-5.008
352,-4.823
353,-5.305
354,-5.047
355,-5.410
356,7.569
357,-5.391
358,-4.783
359,-5.287
360,-4.707
362,-5.495
363,-6.137
365,-6.553
366,-5.058
367,-5.222
368,-5.548
369,-5.056
370,-4.853
371,-5.178
372,-4.904
373,-5.054
374,-5.592
375,-4.891
376,-5.055
377,-5.414
378,-5.769
379,-5.416
380,-4.873
381,-5.052
382,-4.797
383,-5.036
384,-6.101
385,-5.038
386,-5.223
387,-5.411
388,-5.412
389,-6.548
390,-4.422
391,-4.833
392,-5.488
394,-4.903
395,-5.059
396,-6.089
397,-5.741
398,-5.496
399,-6.553
